Tanggal,Terakhir
1/10/2006,"1.154,20"
1/9/2006,"1.164,12"
1/8/2006,"1.146,09"
1/7/2006,"1.141,15"
1/6/2006,"1.158,97"
1/5/2006,"1.153,41"
1/4/2006,"1.096,22"
1/3/2006,"1.133,39"
1/2/2006,"1.142,05"
1/1/2006,"1.162,20"
1/12/2005,"1.218,06"
1/11/2005,"1.241,03"
1/10/2005,"1.252,30"
1/9/2005,"1.272,84"
1/8/2005,"1.271,63"
1/7/2005,"1.209,65"
1/6/2005,"1.179,24"
1/5/2005,"1.150,00"
1/4/2005,"1.156,29"
1/3/2005,"1.144,33"
1/2/2005,"1.119,37"
1/1/2005,"1.107,36"
